experiment_id,dataset,namespaced_identity,photo_path,sketch_path,split
exp05_cross_modal,CUFS_working_subset,CUFS:F2-005,N/A,dataset\queries\F2-005-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-006,N/A,dataset\queries\F2-006-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-007,N/A,dataset\queries\F2-007-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-008,N/A,dataset\queries\F2-008-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-009,N/A,dataset\queries\F2-009-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F20,N/A,dataset\queries\F2-010-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F21,N/A,dataset\queries\F2-011-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F22,N/A,dataset\queries\F2-012-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F23,N/A,dataset\queries\F2-013-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F24,N/A,dataset\queries\F2-014-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F25,N/A,dataset\queries\F2-015-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F26,N/A,dataset\queries\F2-016-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F27,N/A,dataset\queries\F2-017-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F28,N/A,dataset\queries\F2-018-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F29,N/A,dataset\queries\F2-019-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-020,N/A,dataset\queries\F2-020-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-021,N/A,dataset\queries\F2-021-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-022,N/A,dataset\queries\F2-022-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-023,N/A,dataset\queries\F2-023-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-024,N/A,dataset\queries\F2-024-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-025,N/A,dataset\queries\F2-025-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-026,N/A,dataset\queries\F2-026-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-027,N/A,dataset\queries\F2-027-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-028,N/A,dataset\queries\F2-028-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-029,N/A,dataset\queries\F2-029-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-030,N/A,dataset\queries\F2-030-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-031,N/A,dataset\queries\F2-031-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-032,N/A,dataset\queries\F2-032-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-033,N/A,dataset\queries\F2-033-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-034,N/A,dataset\queries\F2-034-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-035,N/A,dataset\queries\F2-035-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-036,N/A,dataset\queries\F2-036-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-037,N/A,dataset\queries\F2-037-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:F2-038,N/A,dataset\queries\F2-038-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-008,N/A,dataset\queries\M2-008-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-009,N/A,dataset\queries\M2-009-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M20,N/A,dataset\queries\M2-010-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M21,N/A,dataset\queries\M2-011-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M22,N/A,dataset\queries\M2-012-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M23,N/A,dataset\queries\M2-013-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M24,N/A,dataset\queries\M2-014-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M25,N/A,dataset\queries\M2-015-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M26,N/A,dataset\queries\M2-016-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M27,N/A,dataset\queries\M2-017-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M28,N/A,dataset\queries\M2-018-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M29,N/A,dataset\queries\M2-019-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-021,N/A,dataset\queries\M2-021-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-022,N/A,dataset\queries\M2-022-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-023,N/A,dataset\queries\M2-023-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-024,N/A,dataset\queries\M2-024-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-025,N/A,dataset\queries\M2-025-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-026,N/A,dataset\queries\M2-026-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-027,N/A,dataset\queries\M2-027-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-028,N/A,dataset\queries\M2-028-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-029,N/A,dataset\queries\M2-029-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-030,N/A,dataset\queries\M2-030-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-031,N/A,dataset\queries\M2-031-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-032,N/A,dataset\queries\M2-032-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-033,N/A,dataset\queries\M2-033-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-034,N/A,dataset\queries\M2-034-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-035,N/A,dataset\queries\M2-035-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-036,N/A,dataset\queries\M2-036-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-037,N/A,dataset\queries\M2-037-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-038,N/A,dataset\queries\M2-038-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-039,N/A,dataset\queries\M2-039-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-040,N/A,dataset\queries\M2-040-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-041,N/A,dataset\queries\M2-041-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-042,N/A,dataset\queries\M2-042-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-043,N/A,dataset\queries\M2-043-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-044,N/A,dataset\queries\M2-044-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-045,N/A,dataset\queries\M2-045-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-046,N/A,dataset\queries\M2-046-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-047,N/A,dataset\queries\M2-047-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-048,N/A,dataset\queries\M2-048-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-049,N/A,dataset\queries\M2-049-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-050,N/A,dataset\queries\M2-050-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-051,N/A,dataset\queries\M2-051-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-052,N/A,dataset\queries\M2-052-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-053,N/A,dataset\queries\M2-053-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-054,N/A,dataset\queries\M2-054-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-055,N/A,dataset\queries\M2-055-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-056,N/A,dataset\queries\M2-056-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-057,N/A,dataset\queries\M2-057-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-058,N/A,dataset\queries\M2-058-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-059,N/A,dataset\queries\M2-059-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-060,N/A,dataset\queries\M2-060-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-061,N/A,dataset\queries\M2-061-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:M2-062,N/A,dataset\queries\M2-062-01-sz1.jpg,other
exp05_cross_modal,CUFS_working_subset,CUFS:a-sharukh,dataset\gallery\a-sharukh.jpg,dataset\queries\a-sharukh-1.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:a-sharukh,dataset\gallery\a-sharukh.jpg,dataset\queries\a-sharukh-2.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:f-039,dataset\gallery\f-039-01.jpg,dataset\queries\f-039-01-sz1.jpg,test
exp05_cross_modal,CUFS_working_subset,CUFS:f-040,dataset\gallery\f-040-01.jpg,dataset\queries\f-040-01-sz1.jpg,test
exp05_cross_modal,CUFS_working_subset,CUFS:f-041,dataset\gallery\f-041-01.jpg,dataset\queries\f-041-01-sz1.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:f-042,dataset\gallery\f-042-01.jpg,dataset\queries\f-042-01-sz1.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:f-043,dataset\gallery\f-043-01.jpg,dataset\queries\f-043-01-sz1.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:f1-001,dataset\gallery\f1-001-01.jpg,dataset\queries\f1-001-01-sz1.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:f1-002,dataset\gallery\f1-002-01.jpg,dataset\queries\f1-002-01-sz1.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:f1-003,dataset\gallery\f1-003-01.jpg,dataset\queries\f1-003-01-sz1.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:f1-004,dataset\gallery\f1-004-01.jpg,dataset\queries\f1-004-01-sz1.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:f1-005,dataset\gallery\f1-005-01.jpg,dataset\queries\f1-005-01-sz1.jpg,train
exp05_cross_modal,CUFS_working_subset,CUFS:f1-006,dataset\gallery\f1-006-01.jpg,dataset\queries\f1-006-01-sz1.jpg,train
