query,pid,emb_vector_sha256,first_5_values
F2-005-01-sz1.jpg,F2-005,246203eff33cf5d6a7ed569af4cead3cdb541197871819c392bacc99658ba8e6,"[0.0276, 0.0807, 0.0275, 0.0849, 0.0113]"
F2-006-01-sz1.jpg,F2-006,cc809ae4287ce0024cc94a4666bcfd5abec449ed7311efcde45004482ed4fdbb,"[-0.1124, -0.0422, -0.0652, -0.0741, -0.0849]"
F2-007-01-sz1.jpg,F2-007,84ae3af6ec71d41086c7c075e6e92e61a87b3d607a874a0f94e502a44728dcfc,"[-0.1101, -0.0636, -0.0566, -0.0642, -0.1394]"
F2-008-01-sz1.jpg,F2-008,d9dcbd2855b4206b62948e39ce6f27ef6caf4b899a5b8967e732b417bd14fc7e,"[-0.1421, -0.0376, -0.1007, -0.0414, -0.1469]"
F2-009-01-sz1.jpg,F2-009,e3e7532367721190d69d1194da252a499e831305d025f7868a1dc8e651d6056d,"[-0.1126, -0.0597, -0.0607, -0.0543, -0.0886]"
F2-010-01-sz1.jpg,F20,5c4d5a5b0fe1163b6cf63d911805b1dc9f79a73a546c489b45a8c7d3ba951a5e,"[-0.0977, -0.0381, -0.0812, -0.0763, -0.083]"
F2-011-01-sz1.jpg,F21,cd9cbf71aaf7df81f600d6513678231a7a8c187aba4f8b85711a45c18d94f2b9,"[0.0419, 0.0514, 0.0809, 0.0662, 0.0189]"
F2-012-01-sz1.jpg,F22,02cb96d89d5a135182cdb11da391e1af46bba51cd0be8e6093787ce04701dd53,"[-0.0808, -0.0435, -0.058, -0.0675, -0.0818]"
F2-013-01-sz1.jpg,F23,0ede208dfe7545e4efc3b33d494d4191c92b9a69c0f9a87f54de1c699ddca185,"[-0.1124, -0.0579, -0.059, -0.0742, -0.1099]"
F2-014-01-sz1.jpg,F24,ba9c04050b56d975ca034d85645ad0efede5470dc6edcef47b9b104462789b52,"[-0.0634, 0.0311, -0.073, 0.0503, -0.0545]"
F2-015-01-sz1.jpg,F25,efd97ba7ec69e65cfca75c9001bc0ba0d070520b1f63dac71a748136ee05399e,"[-0.0805, -0.083, -0.0369, -0.0467, -0.1216]"
F2-016-01-sz1.jpg,F26,d04f91aea21ad699471423b67c7068a3698028c832142158be8ab1757e986e05,"[-0.0945, -0.0575, -0.0494, -0.0391, -0.1451]"
F2-017-01-sz1.jpg,F27,fb7120d6e02ebf2172ac2e821e327ddfe7f5a501860446919fab9ea546d5df18,"[-0.0547, 0.0068, 0.0068, 0.0033, -0.0471]"
F2-018-01-sz1.jpg,F28,7e058a85e47a5ac754c55ea9da36788aa596bd7e7df3b8ab95bdc3eda8b0586c,"[-0.1173, -0.0376, -0.0451, -0.0475, -0.0858]"
F2-019-01-sz1.jpg,F29,af97990dd3dac3f612167d7a005ff81094c3b9112237178e5ec1a102998d3777,"[-0.0653, 0.022, -0.0, 0.047, -0.0829]"
F2-020-01-sz1.jpg,F2-020,4c40cd30ff575b9675b7902f651838149dac84de47821abc2abda821b7435162,"[-0.133, -0.0933, -0.0851, -0.0702, -0.1376]"
F2-021-01-sz1.jpg,F2-021,693e163c87cc7211852850b0cc9fe604365216ba7efb1f98eefc87222b58eb2a,"[-0.0686, -0.0436, -0.0209, -0.0842, -0.0965]"
F2-022-01-sz1.jpg,F2-022,c1cd0a1edc3384cb0e673fd265d3216ff2ee5ec1f2edf01ad5866e69e88dea0b,"[-0.0785, -0.0483, 0.0088, -0.0416, -0.1583]"
F2-023-01-sz1.jpg,F2-023,9b9ec2b462a321b4b9058b9b293b1cec1948efb3f646b0c14caf83da84857399,"[-0.0267, -0.0021, 0.0097, -0.0176, -0.1074]"
F2-024-01-sz1.jpg,F2-024,5cef75384c174b76306efec34c8a20968f4af4d5c96262c3c536c1a5eb959de9,"[-0.0824, -0.0711, -0.073, -0.039, -0.1681]"
