query_path,ground_truth_pid,rank,top1_predicted_pid,top1_score
F2-005-01-sz1.jpg,F2-005,NOT_FOUND,f-020,0.7566
F2-006-01-sz1.jpg,F2-006,NOT_FOUND,f-006,0.7607
F2-007-01-sz1.jpg,F2-007,NOT_FOUND,f-007,0.8014
F2-008-01-sz1.jpg,F2-008,NOT_FOUND,f-008,0.8294
F2-009-01-sz1.jpg,F2-009,NOT_FOUND,f-009,0.8069
F2-010-01-sz1.jpg,F20,NOT_FOUND,f0,0.7959
F2-011-01-sz1.jpg,F21,NOT_FOUND,f1,0.8109
F2-012-01-sz1.jpg,F22,NOT_FOUND,f2,0.8165
F2-013-01-sz1.jpg,F23,NOT_FOUND,f3,0.8007
F2-014-01-sz1.jpg,F24,NOT_FOUND,f4,0.8099
F2-015-01-sz1.jpg,F25,NOT_FOUND,f5,0.8039
F2-016-01-sz1.jpg,F26,NOT_FOUND,f6,0.732
F2-017-01-sz1.jpg,F27,NOT_FOUND,f7,0.7802
F2-018-01-sz1.jpg,F28,NOT_FOUND,f8,0.7643
F2-019-01-sz1.jpg,F29,NOT_FOUND,f9,0.8237
F2-020-01-sz1.jpg,F2-020,NOT_FOUND,f-020,0.8199
F2-021-01-sz1.jpg,F2-021,NOT_FOUND,f-021,0.8445
F2-022-01-sz1.jpg,F2-022,NOT_FOUND,f-022,0.7762
F2-023-01-sz1.jpg,F2-023,NOT_FOUND,f-023,0.7827
F2-024-01-sz1.jpg,F2-024,NOT_FOUND,f-024,0.7753
F2-025-01-sz1.jpg,F2-025,NOT_FOUND,f7,0.7169
F2-026-01-sz1.jpg,F2-026,NOT_FOUND,f-026,0.8408
F2-027-01-sz1.jpg,F2-027,NOT_FOUND,f-027,0.7875
F2-028-01-sz1.jpg,F2-028,NOT_FOUND,f-028,0.7927
F2-029-01-sz1.jpg,F2-029,NOT_FOUND,f-029,0.8292
F2-030-01-sz1.jpg,F2-030,NOT_FOUND,f-030,0.8635
F2-031-01-sz1.jpg,F2-031,NOT_FOUND,f-031,0.7597
F2-032-01-sz1.jpg,F2-032,NOT_FOUND,f-032,0.747
F2-033-01-sz1.jpg,F2-033,NOT_FOUND,f-033,0.8009
F2-034-01-sz1.jpg,F2-034,NOT_FOUND,f-034,0.7353
F2-035-01-sz1.jpg,F2-035,NOT_FOUND,f-035,0.8063
