filepath,filename,pid,modality,type
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\a-sharukh.jpg,a-sharukh.jpg,a-sharukh,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-005-01.jpg,f-005-01.jpg,f-005,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-006-01.jpg,f-006-01.jpg,f-006,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-007-01.jpg,f-007-01.jpg,f-007,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-008-01.jpg,f-008-01.jpg,f-008,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-009-01.jpg,f-009-01.jpg,f-009,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-010-01.jpg,f-010-01.jpg,f0,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-011-01.jpg,f-011-01.jpg,f1,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-012-01.jpg,f-012-01.jpg,f2,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-013-01.jpg,f-013-01.jpg,f3,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-014-01.jpg,f-014-01.jpg,f4,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-015-01.jpg,f-015-01.jpg,f5,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-016-01.jpg,f-016-01.jpg,f6,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-017-01.jpg,f-017-01.jpg,f7,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-018-01.jpg,f-018-01.jpg,f8,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-019-01.jpg,f-019-01.jpg,f9,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-020-01.jpg,f-020-01.jpg,f-020,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-021-01.jpg,f-021-01.jpg,f-021,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-022-01.jpg,f-022-01.jpg,f-022,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-023-01.jpg,f-023-01.jpg,f-023,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-024-01.jpg,f-024-01.jpg,f-024,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-025-01.jpg,f-025-01.jpg,f-025,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-026-01.jpg,f-026-01.jpg,f-026,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-027-01.jpg,f-027-01.jpg,f-027,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-028-01.jpg,f-028-01.jpg,f-028,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-029-01.jpg,f-029-01.jpg,f-029,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-030-01.jpg,f-030-01.jpg,f-030,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-031-01.jpg,f-031-01.jpg,f-031,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-032-01.jpg,f-032-01.jpg,f-032,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-033-01.jpg,f-033-01.jpg,f-033,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-034-01.jpg,f-034-01.jpg,f-034,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-035-01.jpg,f-035-01.jpg,f-035,PHOTO,GALLERY
c:\Users\Mallikarjun Gala\OneDrive\Desktop\Third-Eye\Project Code (forensic face sketch)\Project Code (forensic face sketch)\ThirdEye v2\ml_service\dataset\gallery\f-036-01.jpg,f-036-01.jpg,f-036,PHOTO,GALLERY
