query_filename,ground_truth_pid,rank,top1_matched_pid,top1_matched_filename,top1_score,status
F2-005-01-sz1.jpg,F2-005,NOT_FOUND,f-034,f-034-01.jpg,0.5966,FAILED
F2-006-01-sz1.jpg,F2-006,NOT_FOUND,f3,f-013-01.jpg,0.5912,FAILED
F2-007-01-sz1.jpg,F2-007,NOT_FOUND,f8,f-018-01.jpg,0.6326,FAILED
F2-008-01-sz1.jpg,F2-008,NOT_FOUND,f-008,f-008-01.jpg,0.599,FAILED
F2-009-01-sz1.jpg,F2-009,NOT_FOUND,f-009,f-009-01.jpg,0.5028,FAILED
F2-010-01-sz1.jpg,F20,NOT_FOUND,f-020,f-020-01.jpg,0.6878,FAILED
F2-011-01-sz1.jpg,F21,NOT_FOUND,f-037,f-037-01.jpg,0.6349,FAILED
F2-012-01-sz1.jpg,F22,NOT_FOUND,f2,f-012-01.jpg,0.5459,FAILED
F2-013-01-sz1.jpg,F23,NOT_FOUND,f9,f-019-01.jpg,0.59,FAILED
F2-014-01-sz1.jpg,F24,NOT_FOUND,f9,f-019-01.jpg,0.7098,FAILED
F2-015-01-sz1.jpg,F25,NOT_FOUND,f5,f-015-01.jpg,0.736,FAILED
F2-016-01-sz1.jpg,F26,NOT_FOUND,f9,f-019-01.jpg,0.6455,FAILED
F2-017-01-sz1.jpg,F27,NOT_FOUND,f1-008,f1-008-01.jpg,0.5561,FAILED
F2-018-01-sz1.jpg,F28,NOT_FOUND,f8,f-018-01.jpg,0.6735,FAILED
F2-019-01-sz1.jpg,F29,NOT_FOUND,f9,f-019-01.jpg,0.7326,FAILED
F2-020-01-sz1.jpg,F2-020,NOT_FOUND,f-020,f-020-01.jpg,0.6814,FAILED
F2-021-01-sz1.jpg,F2-021,NOT_FOUND,f-036,f-036-01.jpg,0.609,FAILED
F2-022-01-sz1.jpg,F2-022,NOT_FOUND,f-022,f-022-01.jpg,0.5875,FAILED
F2-023-01-sz1.jpg,F2-023,NOT_FOUND,f3,f-013-01.jpg,0.6477,FAILED
F2-024-01-sz1.jpg,F2-024,NOT_FOUND,f-024,f-024-01.jpg,0.5203,FAILED
F2-025-01-sz1.jpg,F2-025,NOT_FOUND,f13,f1-013-01.jpg,0.5368,FAILED
F2-026-01-sz1.jpg,F2-026,NOT_FOUND,f-026,f-026-01.jpg,0.6651,FAILED
F2-027-01-sz1.jpg,F2-027,NOT_FOUND,f1-008,f1-008-01.jpg,0.4394,FAILED
F2-028-01-sz1.jpg,F2-028,NOT_FOUND,f3,f-013-01.jpg,0.6462,FAILED
F2-029-01-sz1.jpg,F2-029,NOT_FOUND,f-029,f-029-01.jpg,0.6272,FAILED
F2-030-01-sz1.jpg,F2-030,NOT_FOUND,f-030,f-030-01.jpg,0.6156,FAILED
F2-031-01-sz1.jpg,F2-031,NOT_FOUND,m-066,m-066-01.jpg,0.6964,FAILED
F2-032-01-sz1.jpg,F2-032,NOT_FOUND,f-035,f-035-01.jpg,0.6408,FAILED
F2-033-01-sz1.jpg,F2-033,NOT_FOUND,f-020,f-020-01.jpg,0.4938,FAILED
F2-034-01-sz1.jpg,F2-034,NOT_FOUND,f-034,f-034-01.jpg,0.5221,FAILED
F2-035-01-sz1.jpg,F2-035,NOT_FOUND,m-087,m-087-01.jpg,0.5911,FAILED
F2-036-01-sz1.jpg,F2-036,NOT_FOUND,f5,f-015-01.jpg,0.5901,FAILED
F2-037-01-sz1.jpg,F2-037,NOT_FOUND,f-036,f-036-01.jpg,0.6745,FAILED
F2-038-01-sz1.jpg,F2-038,NOT_FOUND,f13,f1-013-01.jpg,0.5083,FAILED
M2-008-01-sz1.jpg,M2-008,NOT_FOUND,m-064,m-064-01.jpg,0.3604,FAILED
M2-009-01-sz1.jpg,M2-009,NOT_FOUND,m-029,m-029-01.jpg,0.4954,FAILED
M2-010-01-sz1.jpg,M20,NOT_FOUND,m0,m-010-01.jpg,0.6208,FAILED
M2-011-01-sz1.jpg,M21,NOT_FOUND,m8,m-018-01.jpg,0.5768,FAILED
M2-012-01-sz1.jpg,M22,NOT_FOUND,m-027,m-027-01.jpg,0.6054,FAILED
M2-013-01-sz1.jpg,M23,NOT_FOUND,m-021,m-021-01.jpg,0.5658,FAILED
M2-014-01-sz1.jpg,M24,NOT_FOUND,m8,m-018-01.jpg,0.5325,FAILED
M2-015-01-sz1.jpg,M25,NOT_FOUND,m-062,m-062-01.jpg,0.5633,FAILED
M2-016-01-sz1.jpg,M26,NOT_FOUND,m6,m-016-01.jpg,0.609,FAILED
M2-017-01-sz1.jpg,M27,NOT_FOUND,m7,m-017-01.jpg,0.6676,FAILED
M2-018-01-sz1.jpg,M28,NOT_FOUND,f9,f-019-01.jpg,0.5735,FAILED
M2-019-01-sz1.jpg,M29,NOT_FOUND,m-030,m-030-01.jpg,0.5041,FAILED
M2-021-01-sz1.jpg,M2-021,NOT_FOUND,m-021,m-021-01.jpg,0.6849,FAILED
M2-022-01-sz1.jpg,M2-022,NOT_FOUND,f3,f-013-01.jpg,0.5804,FAILED
M2-023-01-sz1.jpg,M2-023,NOT_FOUND,m-033,m-033-01.jpg,0.5182,FAILED
M2-024-01-sz1.jpg,M2-024,NOT_FOUND,m-024,m-024-01.jpg,0.4821,FAILED
M2-025-01-sz1.jpg,M2-025,NOT_FOUND,m-025,m-025-01.jpg,0.6939,FAILED
M2-026-01-sz1.jpg,M2-026,NOT_FOUND,m-021,m-021-01.jpg,0.6238,FAILED
M2-027-01-sz1.jpg,M2-027,NOT_FOUND,m-027,m-027-01.jpg,0.6094,FAILED
M2-028-01-sz1.jpg,M2-028,NOT_FOUND,m-028,m-028-01.jpg,0.6504,FAILED
M2-029-01-sz1.jpg,M2-029,NOT_FOUND,m-029,m-029-01.jpg,0.7129,FAILED
M2-030-01-sz1.jpg,M2-030,NOT_FOUND,m-030,m-030-01.jpg,0.5933,FAILED
M2-031-01-sz1.jpg,M2-031,NOT_FOUND,m-064,m-064-01.jpg,0.6321,FAILED
M2-032-01-sz1.jpg,M2-032,NOT_FOUND,f-020,f-020-01.jpg,0.4902,FAILED
M2-033-01-sz1.jpg,M2-033,NOT_FOUND,m-021,m-021-01.jpg,0.5124,FAILED
M2-034-01-sz1.jpg,M2-034,NOT_FOUND,m-085,m-085-01.jpg,0.571,FAILED
M2-035-01-sz1.jpg,M2-035,NOT_FOUND,m-035,m-035-01.jpg,0.6302,FAILED
M2-036-01-sz1.jpg,M2-036,NOT_FOUND,m-036,m-036-01.jpg,0.5953,FAILED
M2-037-01-sz1.jpg,M2-037,NOT_FOUND,m-087,m-087-01.jpg,0.4573,FAILED
M2-038-01-sz1.jpg,M2-038,NOT_FOUND,f-035,f-035-01.jpg,0.6441,FAILED
M2-039-01-sz1.jpg,M2-039,NOT_FOUND,m8,m-018-01.jpg,0.6731,FAILED
M2-040-01-sz1.jpg,M2-040,NOT_FOUND,m-040,m-040-01.jpg,0.5811,FAILED
M2-041-01-sz1.jpg,M2-041,NOT_FOUND,m-087,m-087-01.jpg,0.6373,FAILED
M2-042-01-sz1.jpg,M2-042,NOT_FOUND,m-058,m-058-01.jpg,0.4895,FAILED
M2-043-01-sz1.jpg,M2-043,NOT_FOUND,m1-005,m1-005-01.jpg,0.4953,FAILED
M2-044-01-sz1.jpg,M2-044,NOT_FOUND,m1-033,m1-033-01.jpg,0.6228,FAILED
M2-045-01-sz1.jpg,M2-045,NOT_FOUND,m-097,m-097-01.jpg,0.6327,FAILED
M2-046-01-sz1.jpg,M2-046,NOT_FOUND,m-046,m-046-01.jpg,0.5132,FAILED
M2-047-01-sz1.jpg,M2-047,NOT_FOUND,m-029,m-029-01.jpg,0.508,FAILED
M2-048-01-sz1.jpg,M2-048,NOT_FOUND,m-048,m-048-01.jpg,0.6096,FAILED
M2-049-01-sz1.jpg,M2-049,NOT_FOUND,m1-040,m1-040-01.jpg,0.5466,FAILED
M2-050-01-sz1.jpg,M2-050,NOT_FOUND,m1-026,m1-026-01.jpg,0.641,FAILED
M2-051-01-sz1.jpg,M2-051,NOT_FOUND,m-051,m-051-01.jpg,0.7209,FAILED
M2-052-01-sz1.jpg,M2-052,NOT_FOUND,m-062,m-062-01.jpg,0.6112,FAILED
M2-053-01-sz1.jpg,M2-053,NOT_FOUND,m-053,m-053-01.jpg,0.61,FAILED
M2-054-01-sz1.jpg,M2-054,NOT_FOUND,m-021,m-021-01.jpg,0.5755,FAILED
M2-055-01-sz1.jpg,M2-055,NOT_FOUND,m-033,m-033-01.jpg,0.4249,FAILED
M2-056-01-sz1.jpg,M2-056,NOT_FOUND,m-027,m-027-01.jpg,0.5287,FAILED
M2-057-01-sz1.jpg,M2-057,NOT_FOUND,m-064,m-064-01.jpg,0.3625,FAILED
M2-058-01-sz1.jpg,M2-058,NOT_FOUND,m-021,m-021-01.jpg,0.5463,FAILED
M2-059-01-sz1.jpg,M2-059,NOT_FOUND,m-059,m-059-01.jpg,0.607,FAILED
M2-060-01-sz1.jpg,M2-060,NOT_FOUND,m-060,m-060-01.jpg,0.7667,FAILED
M2-061-01-sz1.jpg,M2-061,NOT_FOUND,m-049,m-049-01.jpg,0.5793,FAILED
M2-062-01-sz1.jpg,M2-062,NOT_FOUND,m-062,m-062-01.jpg,0.5469,FAILED
