query_file,ground_truth_pid,predicted_pid,ground_truth_rank,top_similarity,correct_rank1
10132.jpg,10132,18218,537,0.6864,False
1020.jpg,1020,23884,347,0.668,False
10223.jpg,10223,17279,243,0.6808,False
10323.jpg,10323,14499,66,0.7169,False
10361.jpg,10361,16441,331,0.64,False
1037.jpg,1037,26906,113,0.7154,False
10517.jpg,10517,26906,78,0.7359,False
10627.jpg,10627,28358,238,0.6829,False
10632.jpg,10632,26906,262,0.6859,False
10642.jpg,10642,28358,44,0.6865,False
10662.jpg,10662,2835,24,0.644,False
10667.jpg,10667,14682,211,0.6611,False
10733.jpg,10733,2188,196,0.5974,False
10786.jpg,10786,29264,373,0.7201,False
10848.jpg,10848,14116,180,0.6581,False
10883.jpg,10883,20246,122,0.6297,False
109.jpg,109,22105,208,0.7177,False
10918.jpg,10918,10918,1,0.7527,True
11008.jpg,11008,17279,26,0.6638,False
11106.jpg,11106,2332,39,0.6516,False
11117.jpg,11117,22207,30,0.671,False
11218.jpg,11218,24019,23,0.6241,False
11242.jpg,11242,15242,55,0.7352,False
11250.jpg,11250,26906,91,0.5762,False
11462.jpg,11462,21060,139,0.7036,False
11468.jpg,11468,23639,9,0.7749,False
11589.jpg,11589,17279,443,0.5352,False
116.jpg,116,22207,397,0.7638,False
11649.jpg,11649,15534,73,0.6127,False
117.jpg,117,17279,110,0.6869,False
11711.jpg,11711,17279,185,0.6069,False
1173.jpg,1173,17279,31,0.6264,False
11748.jpg,11748,14499,462,0.634,False
11766.jpg,11766,11907,280,0.605,False
11784.jpg,11784,22477,59,0.622,False
11831.jpg,11831,23884,137,0.6268,False
11835.jpg,11835,11907,11,0.6888,False
11843.jpg,11843,22386,76,0.7609,False
11870.jpg,11870,23702,59,0.6594,False
11907.jpg,11907,11907,1,0.7118,True
1191.jpg,1191,m-029,293,0.6351,False
11987.jpg,11987,22207,33,0.7535,False
12038.jpg,12038,28358,276,0.562,False
12085.jpg,12085,m-029,4,0.6887,False
12104.jpg,12104,27744,312,0.6653,False
12202.jpg,12202,28358,276,0.7409,False
12220.jpg,12220,14499,357,0.6707,False
12229.jpg,12229,12971,47,0.6998,False
12266.jpg,12266,13448,340,0.6206,False
12285.jpg,12285,15681,56,0.6538,False
12369.jpg,12369,23842,363,0.5634,False
12455.jpg,12455,11907,30,0.6973,False
12474.jpg,12474,29523,294,0.653,False
12479.jpg,12479,19988,16,0.6861,False
12507.jpg,12507,18040,430,0.6201,False
12527.jpg,12527,14499,206,0.6195,False
12592.jpg,12592,17279,251,0.6029,False
12619.jpg,12619,14014,5,0.5652,False
12660.jpg,12660,23293,292,0.6921,False
12692.jpg,12692,12455,263,0.6959,False
12696.jpg,12696,18382,132,0.6999,False
12742.jpg,12742,22386,233,0.6255,False
12743.jpg,12743,17279,259,0.6373,False
12746.jpg,12746,23842,605,0.6506,False
12758.jpg,12758,1701,342,0.6755,False
12806.jpg,12806,21594,424,0.6044,False
12824.jpg,12824,23884,176,0.6794,False
12857.jpg,12857,14499,451,0.6466,False
12910.jpg,12910,23111,122,0.6739,False
12971.jpg,12971,16508,2,0.6964,False
1298.jpg,1298,23111,26,0.708,False
12985.jpg,12985,23259,504,0.6467,False
13011.jpg,13011,22907,25,0.5452,False
13039.jpg,13039,17279,36,0.6086,False
13051.jpg,13051,m-082,27,0.673,False
13105.jpg,13105,m-029,157,0.5624,False
13107.jpg,13107,m-029,281,0.643,False
1313.jpg,1313,14116,8,0.6877,False
13147.jpg,13147,m7,320,0.6059,False
13165.jpg,13165,23111,85,0.7638,False
13264.jpg,13264,15633,96,0.6243,False
1329.jpg,1329,22386,287,0.6877,False
13416.jpg,13416,26906,347,0.6893,False
13448.jpg,13448,17279,16,0.7169,False
13452.jpg,13452,17490,72,0.6384,False
13470.jpg,13470,23702,398,0.7351,False
13536.jpg,13536,22907,508,0.5801,False
13564.jpg,13564,m7,119,0.5612,False
13582.jpg,13582,28022,624,0.5663,False
13614.jpg,13614,15242,375,0.6774,False
13675.jpg,13675,m-082,404,0.5153,False
13689.jpg,13689,23702,341,0.6706,False
13690.jpg,13690,14014,77,0.5544,False
13702.jpg,13702,11117,141,0.706,False
13730.jpg,13730,20474,16,0.647,False
13782.jpg,13782,27565,90,0.6374,False
